#;Time;Function;Direction;Status;Data;Data (chars);Data length;Req. length;Port;Comments;
6376020;05/05/2020 21:12:17;IRP_MJ_WRITE;DOWN;;8b ;"ã";1;1;COM3;;
6376044;05/05/2020 21:12:17;IRP_MJ_WRITE;DOWN;;05 ;".";1;1;COM3;;
6376053;05/05/2020 21:12:17;IRP_MJ_WRITE;DOWN;;00 ;".";1;1;COM3;;
6376065;05/05/2020 21:12:17;IRP_MJ_WRITE;DOWN;;00 ;".";1;1;COM3;;
6376077;05/05/2020 21:12:17;IRP_MJ_WRITE;DOWN;;46 ;"F";1;1;COM3;;
6376092;05/05/2020 21:12:17;IRP_MJ_WRITE;DOWN;;30 ;"0";1;1;COM3;;
6376104;05/05/2020 21:12:17;IRP_MJ_WRITE;DOWN;;89 ;"â";1;1;COM3;;
6376128;05/05/2020 21:12:17;IRP_MJ_WRITE;DOWN;;05 ;".";1;1;COM3;;
6376139;05/05/2020 21:12:17;IRP_MJ_WRITE;DOWN;;00 ;".";1;1;COM3;;
6376152;05/05/2020 21:12:17;IRP_MJ_WRITE;DOWN;;00 ;".";1;1;COM3;;
6376164;05/05/2020 21:12:17;IRP_MJ_WRITE;DOWN;;46 ;"F";1;1;COM3;;
6376176;05/05/2020 21:12:17;IRP_MJ_WRITE;DOWN;;31 ;"1";1;1;COM3;;
6376188;05/05/2020 21:12:17;IRP_MJ_WRITE;DOWN;;88 ;"à";1;1;COM3;;
6376212;05/05/2020 21:12:17;IRP_MJ_WRITE;DOWN;;05 ;".";1;1;COM3;;
6376223;05/05/2020 21:12:17;IRP_MJ_WRITE;DOWN;;00 ;".";1;1;COM3;;
6376236;05/05/2020 21:12:17;IRP_MJ_WRITE;DOWN;;00 ;".";1;1;COM3;;
6376248;05/05/2020 21:12:17;IRP_MJ_WRITE;DOWN;;46 ;"F";1;1;COM3;;
6376257;05/05/2020 21:12:17;IRP_MJ_WRITE;DOWN;;32 ;"2";1;1;COM3;;
6376269;05/05/2020 21:12:17;IRP_MJ_WRITE;DOWN;;87 ;"á";1;1;COM3;;
6376296;05/05/2020 21:12:17;IRP_MJ_WRITE;DOWN;;05 ;".";1;1;COM3;;
6376308;05/05/2020 21:12:17;IRP_MJ_WRITE;DOWN;;00 ;".";1;1;COM3;;
6376317;05/05/2020 21:12:17;IRP_MJ_WRITE;DOWN;;00 ;".";1;1;COM3;;
6376329;05/05/2020 21:12:17;IRP_MJ_WRITE;DOWN;;46 ;"F";1;1;COM3;;
