#;Time;Function;Direction;Status;Data;Data (chars);Data length;Req. length;Port;Comments;
6688386;05/05/2020 21:20:17;IRP_MJ_WRITE;DOWN;;1e ;".";1;1;COM3;;
6688415;05/05/2020 21:20:17;IRP_MJ_READ;UP;STATUS_SUCCESS;04 32 00 47 86 ;".2.GÜ";5;;COM3;;
6688422;05/05/2020 21:20:17;IRP_MJ_WRITE;DOWN;;04 ;".";1;1;COM3;;
6688434;05/05/2020 21:20:17;IRP_MJ_WRITE;DOWN;;92 ;"í";1;1;COM3;;
6688446;05/05/2020 21:20:17;IRP_MJ_WRITE;DOWN;;08 ;".";1;1;COM3;;
6688458;05/05/2020 21:20:17;IRP_MJ_WRITE;DOWN;;48 ;"H";1;1;COM3;;
6688470;05/05/2020 21:20:17;IRP_MJ_WRITE;DOWN;;1d ;".";1;1;COM3;;
6688499;05/05/2020 21:20:17;IRP_MJ_READ;UP;STATUS_SUCCESS;04 32 00 48 85 ;".2.HÖ";5;;COM3;;
6688506;05/05/2020 21:20:17;IRP_MJ_WRITE;DOWN;;04 ;".";1;1;COM3;;
6688518;05/05/2020 21:20:17;IRP_MJ_WRITE;DOWN;;92 ;"í";1;1;COM3;;
6688530;05/05/2020 21:20:17;IRP_MJ_WRITE;DOWN;;08 ;".";1;1;COM3;;
6688542;05/05/2020 21:20:17;IRP_MJ_WRITE;DOWN;;49 ;"I";1;1;COM3;;
6688554;05/05/2020 21:20:17;IRP_MJ_WRITE;DOWN;;1c ;".";1;1;COM3;;
6688583;05/05/2020 21:20:17;IRP_MJ_READ;UP;STATUS_SUCCESS;04 32 00 49 84 ;".2.IÑ";5;;COM3;;
6688590;05/05/2020 21:20:17;IRP_MJ_WRITE;DOWN;;04 ;".";1;1;COM3;;
6688598;05/05/2020 21:20:17;IRP_MJ_WRITE;DOWN;;92 ;"í";1;1;COM3;;
6688614;05/05/2020 21:20:17;IRP_MJ_WRITE;DOWN;;08 ;".";1;1;COM3;;
6688626;05/05/2020 21:20:17;IRP_MJ_WRITE;DOWN;;4a ;"J";1;1;COM3;;
6688638;05/05/2020 21:20:17;IRP_MJ_WRITE;DOWN;;1b ;".";1;1;COM3;;
6688667;05/05/2020 21:20:17;IRP_MJ_READ;UP;STATUS_SUCCESS;04 32 00 4a 83 ;".2.JÉ";5;;COM3;;
6688674;05/05/2020 21:20:17;IRP_MJ_WRITE;DOWN;;04 ;".";1;1;COM3;;
6688686;05/05/2020 21:20:17;IRP_MJ_WRITE;DOWN;;92 ;"í";1;1;COM3;;
6688698;05/05/2020 21:20:17;IRP_MJ_WRITE;DOWN;;08 ;".";1;1;COM3;;
6688710;05/05/2020 21:20:17;IRP_MJ_WRITE;DOWN;;4b ;"K";1;1;COM3;;
6688722;05/05/2020 21:20:17;IRP_MJ_WRITE;DOWN;;1a ;".";1;1;COM3;;
6688751;05/05/2020 21:20:17;IRP_MJ_READ;UP;STATUS_SUCCESS;04 32 00 4b 82 ;".2.KÇ";5;;COM3;;
6688758;05/05/2020 21:20:17;IRP_MJ_WRITE;DOWN;;04 ;".";1;1;COM3;;
6688769;05/05/2020 21:20:17;IRP_MJ_WRITE;DOWN;;92 ;"í";1;1;COM3;;
6688782;05/05/2020 21:20:17;IRP_MJ_WRITE;DOWN;;08 ;".";1;1;COM3;;
6688794;05/05/2020 21:20:17;IRP_MJ_WRITE;DOWN;;4c ;"L";1;1;COM3;;
6688806;05/05/2020 21:20:17;IRP_MJ_WRITE;DOWN;;19 ;".";1;1;COM3;;
6688835;05/05/2020 21:20:17;IRP_MJ_READ;UP;STATUS_SUCCESS;04 32 00 4c 81 ;".2.LÅ";5;;COM3;;
6688842;05/05/2020 21:20:17;IRP_MJ_WRITE;DOWN;;04 ;".";1;1;COM3;;
6688854;05/05/2020 21:20:17;IRP_MJ_WRITE;DOWN;;92 ;"í";1;1;COM3;;
6688866;05/05/2020 21:20:17;IRP_MJ_WRITE;DOWN;;08 ;".";1;1;COM3;;
6688878;05/05/2020 21:20:17;IRP_MJ_WRITE;DOWN;;4d ;"M";1;1;COM3;;
6688890;05/05/2020 21:20:17;IRP_MJ_WRITE;DOWN;;18 ;".";1;1;COM3;;
6688919;05/05/2020 21:20:17;IRP_MJ_READ;UP;STATUS_SUCCESS;04 32 00 4d 80 ;".2.MÄ";5;;COM3;;
6688926;05/05/2020 21:20:17;IRP_MJ_WRITE;DOWN;;04 ;".";1;1;COM3;;
6688938;05/05/2020 21:20:17;IRP_MJ_WRITE;DOWN;;92 ;"í";1;1;COM3;;
6688950;05/05/2020 21:20:17;IRP_MJ_WRITE;DOWN;;08 ;".";1;1;COM3;;
6688962;05/05/2020 21:20:17;IRP_MJ_WRITE;DOWN;;4e ;"N";1;1;COM3;;
6688974;05/05/2020 21:20:17;IRP_MJ_WRITE;DOWN;;17 ;".";1;1;COM3;;
6689003;05/05/2020 21:20:17;IRP_MJ_READ;UP;STATUS_SUCCESS;04 32 00 4e 7f ;".2.N";5;;COM3;;
